Sigma,Model,Accuracy_Mean,Accuracy_SeedSD,AUC_Mean,AUC_SeedSD
0.0,CNN,0.9087333333333335,0.0022546248764115334,0.9690468826686315,0.0007542375759013192
0.0,GraphSAGE,0.8629333333333333,0.004488132499529554,0.9255166255894851,0.0005696787724890019
0.0,ResNeXt-SE reference,0.9147,0.0016643316977093764,0.9710179939397827,0.0004571167546398192
0.05,CNN,0.9017111111111111,0.0003892062197364017,0.9651171010889913,0.00047002934813099165
0.05,GraphSAGE,0.858111111111111,0.004617879904763117,0.9214803034021156,0.00027615118226863083
0.05,ResNeXt-SE reference,0.9060555555555556,0.000323751161874189,0.9669254684754872,0.00013574173559371692
0.1,CNN,0.8672111111111112,0.00632915066562235,0.9418502736700605,0.0015313124079981203
0.1,GraphSAGE,0.8432333333333334,0.006797630306053579,0.9089732038068415,0.0019517291728983746
0.1,ResNeXt-SE reference,0.8786444444444443,0.0020003703360831735,0.9453836293202199,0.0030035350226367387
0.2,CNN,0.6862,0.015433765292731137,0.8048096534935171,0.004431218420685929
0.2,GraphSAGE,0.7643555555555556,0.015385936339301473,0.8488595880545424,0.011841767599730508
0.2,ResNeXt-SE reference,0.7174,0.010258709037257523,0.7831140082972358,0.017662286024543238
0.35,CNN,0.5691888888888889,0.009332996025650839,0.6613035314818373,0.010563072027687567
0.35,GraphSAGE,0.6736888888888889,0.009201288154584757,0.7375079487015346,0.013723007294739192
0.35,ResNeXt-SE reference,0.574911111111111,0.005380245072209662,0.604597636995071,0.015201653311825889
