Seed,NoiseSeed,Sigma,Model,TestJets,Accuracy,AUC
101,7,0.0,CNN,10000,0.9089,0.968347256897768
101,7,0.0,GraphSAGE,10000,0.86,0.926139731771335
101,7,0.05,CNN,10000,0.9042,0.966399478266438
101,7,0.05,GraphSAGE,10000,0.8565,0.920807566737085
101,7,0.1,CNN,10000,0.8661,0.940983731835354
101,7,0.1,GraphSAGE,10000,0.836,0.906701675628961
101,7,0.2,CNN,10000,0.6842,0.809435235420268
101,7,0.2,GraphSAGE,10000,0.7493,0.841369830676655
101,7,0.35,CNN,10000,0.5676,0.670522293707189
101,7,0.35,GraphSAGE,10000,0.6652,0.732447306510467
101,17,0.0,CNN,10000,0.9089,0.968347256897768
101,17,0.0,GraphSAGE,10000,0.86,0.926139731771335
101,17,0.05,CNN,10000,0.898,0.963493414314067
101,17,0.05,GraphSAGE,10000,0.8555,0.921793779207476
101,17,0.1,CNN,10000,0.8657,0.938576755649446
101,17,0.1,GraphSAGE,10000,0.8352,0.905767876576403
101,17,0.2,CNN,10000,0.6871,0.807598685263428
101,17,0.2,GraphSAGE,10000,0.7469,0.832230370974971
101,17,0.35,CNN,10000,0.567,0.676050648966136
101,17,0.35,GraphSAGE,10000,0.6673,0.723318049420651
101,27,0.0,CNN,10000,0.9089,0.968347256897768
101,27,0.0,GraphSAGE,10000,0.86,0.926139731771335
101,27,0.05,CNN,10000,0.9027,0.964240265507969
101,27,0.05,GraphSAGE,10000,0.8573,0.922137667242814
101,27,0.1,CNN,10000,0.8672,0.941292310831574
101,27,0.1,GraphSAGE,10000,0.8363,0.90803477690289
101,27,0.2,CNN,10000,0.6869,0.806798780487805
101,27,0.2,GraphSAGE,10000,0.7438,0.838280639843801
101,27,0.35,CNN,10000,0.5672,0.672474933582997
101,27,0.35,GraphSAGE,10000,0.6631,0.721881521669547
101,7,0.0,ResNeXt-SE reference,10000,0.9128,0.971513987580823
101,7,0.05,ResNeXt-SE reference,10000,0.9042,0.965914994238526
101,7,0.1,ResNeXt-SE reference,10000,0.8761,0.941891484219965
101,7,0.2,ResNeXt-SE reference,10000,0.7063,0.763659016708279
101,7,0.35,ResNeXt-SE reference,10000,0.5664,0.590370014723769
101,17,0.0,ResNeXt-SE reference,10000,0.9128,0.971513987580823
101,17,0.05,ResNeXt-SE reference,10000,0.905,0.96636362908905
101,17,0.1,ResNeXt-SE reference,10000,0.8739,0.940590371135013
101,17,0.2,ResNeXt-SE reference,10000,0.7045,0.761692533288523
101,17,0.35,ResNeXt-SE reference,10000,0.57,0.589794067281224
101,27,0.0,ResNeXt-SE reference,10000,0.9128,0.971513987580823
101,27,0.05,ResNeXt-SE reference,10000,0.9098,0.968036717399658
101,27,0.1,ResNeXt-SE reference,10000,0.8794,0.943400410505094
101,27,0.2,ResNeXt-SE reference,10000,0.7071,0.765022565776839
101,27,0.35,ResNeXt-SE reference,10000,0.5697,0.594501392356444
202,7,0.0,CNN,10000,0.9064,0.968947510562707
202,7,0.0,GraphSAGE,10000,0.8607,0.925387659240767
202,7,0.05,CNN,10000,0.904,0.965244002464635
202,7,0.05,GraphSAGE,10000,0.8528,0.920186727802316
202,7,0.1,CNN,10000,0.8611,0.942708293323095
202,7,0.1,GraphSAGE,10000,0.8437,0.908930046091798
202,7,0.2,CNN,10000,0.6718,0.800257265860062
202,7,0.2,GraphSAGE,10000,0.7778,0.851939536521349
202,7,0.35,CNN,10000,0.5606,0.651878900998656
202,7,0.35,GraphSAGE,10000,0.675,0.73930142116382
202,17,0.0,CNN,10000,0.9064,0.968947510562707
202,17,0.0,GraphSAGE,10000,0.8607,0.925387659240767
202,17,0.05,CNN,10000,0.9031,0.965253344856287
202,17,0.05,GraphSAGE,10000,0.8565,0.922282624351836
202,17,0.1,CNN,10000,0.8626,0.940074259010307
202,17,0.1,GraphSAGE,10000,0.8452,0.909510994814674
202,17,0.2,CNN,10000,0.6712,0.798377644677038
202,17,0.2,GraphSAGE,10000,0.7747,0.844256249599898
202,17,0.35,CNN,10000,0.5614,0.654704024230203
202,17,0.35,GraphSAGE,10000,0.6697,0.733329812431982
202,27,0.0,CNN,10000,0.9064,0.968947510562707
202,27,0.0,GraphSAGE,10000,0.8607,0.925387659240767
202,27,0.05,CNN,10000,0.8993,0.964527379009031
202,27,0.05,GraphSAGE,10000,0.8544,0.921035305038091
202,27,0.1,CNN,10000,0.8604,0.942984043915242
